taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,assessment_level,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_outstanding_balance
Company,City of Davao,Davao Del Sur,Davao Del Sur,CITY OF DIGOS,Soong,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,292,0.5,0.0145,23559.61,2023,7,6,1,1,33.1,10167.79,66.26,0,3.0,1.0,9.22707850457977
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Limao,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,632,0.5,0.0138,47944.39,2021,11,8,2,1,44.6,35123.77,40.09,1,3.0,1.0,10.466661858571904
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Sirawan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1839,0.4,0.013,11591.17,2021,4,3,1,0,13.4,1286.32,90.13,0,9.0,3.0,7.160317816938903
Company,Kiblawan,Davao Del Sur,Davao Del Norte,City of Tagum,Bincungan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,265,0.5,0.0164,25240.01,2023,12,8,2,1,36.2,13495.0,60.17,0,12.0,4.0,9.510148624225804
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 24-C (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4566,0.4,0.0118,29984.88,2022,16,8,4,1,85.9,22502.74,6.83,1,6.0,2.0,10.021436796601352
Company,City of Mati,Davao Oriental,Davao Del Sur,City of Davao,Lumiad,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,119,0.2,0.0133,2266.0,2022,10,8,4,2,99.4,2750.21,5.0,1,12.0,4.0,7.919796093889002
Individual,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 2-A (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,306,0.2,0.0107,6458.32,2023,5,5,2,1,53.1,4580.82,45.07,1,12.0,4.0,8.429851578086408
Company,City of Davao,Davao Del Sur,Davao De Oro,Maragusan,Mahayahay,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,316,0.45,0.0159,26296.3,2024,17,8,3,1,56.4,18204.69,48.46,0,3.0,1.0,9.809489461566647
Individual,Laak,Davao De Oro,Davao Del Norte,Carmen,Taba,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,227,0.2,0.0132,3076.81,2022,4,4,3,1,81.9,2571.17,20.5,1,9.0,3.0,7.852505179596255
Company,Santa Maria,Davao Occidental,Davao De Oro,Laak,Kaligutan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,1116,0.4,0.0155,30072.33,2022,6,7,4,2,95.1,36432.62,5.0,1,3.0,1.0,10.503247253718081
Individual,Maco,Davao De Oro,Davao Del Sur,City of Digos,Aplaya,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,180,0.2,0.0112,3657.9,2023,16,8,3,1,44.9,3035.15,31.92,1,12.0,4.0,8.018345544409653
Individual,Sulop,Davao Del Sur,Davao De Oro,Laak,Mabuhay,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,454,0.2,0.0123,2051.94,2024,16,8,1,0,17.9,538.17,95.66,0,9.0,3.0,6.290030920068052
Individual,Compostela,Davao De Oro,Davao Occidental,Santa Maria,  Santo Rosario ,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2460,0.4,0.0129,6111.04,2022,8,8,3,1,81.9,4559.9,23.36,1,9.0,3.0,8.4252752514549
Individual,Caraga,Davao Oriental,Davao Del Sur,City of Davao,Angalan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,194,0.2,0.0138,3167.33,2021,9,8,1,0,16.5,479.55,86.2,0,12.0,4.0,6.174931281269293
Individual,Manay,Davao Oriental,Davao Del Sur,City of Davao,Santo Niño,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,420,0.5,0.0162,97412.4,2024,4,3,2,1,71.1,50095.44,18.39,1,3.0,1.0,10.821705226663994
Individual,Compostela,Davao De Oro,Davao Del Sur,City of Davao,Manuel Guianga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,300,0.2,0.0139,7412.64,2022,11,8,4,2,98.8,8553.16,5.0,1,3.0,1.0,9.054172993311479
Company,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Tagbitan-ag,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,337,0.5,0.0131,32905.06,2023,12,8,3,1,45.7,27169.55,44.64,1,,,10.209888945130489
Company,City of Davao,Davao Del Sur,Davao Occidental,Jose Abad Santos,Tabayon,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,204,0.5,0.0163,18190.55,2022,5,4,1,0,11.9,2957.06,86.32,0,6.0,2.0,7.992288927040687
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mabuhay,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 10D,40,0.25,0.0146,1819.61,2024,20,8,1,1,32.5,1107.7,67.33,0,3.0,1.0,7.010943436778306
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,CITY OF DAVAO,Gatungan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,157,0.5,0.0151,20130.43,2023,13,8,1,1,31.1,9045.21,70.73,0,9.0,3.0,9.110101164448853
Individual,Jose Abad Santos,Davao Occidental,Davao Oriental,Caraga,Palma Gil,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3315,0.4,0.0133,13288.25,2022,2,3,1,1,63.5,8335.8,28.42,1,9.0,3.0,9.028434728678217
Individual,Maragusan,Davao De Oro,Davao Del Sur,CITY OF DAVAO,Talomo River,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1373,0.5,0.0173,165954.35,2024,5,6,3,1,56.5,112358.79,33.63,1,12.0,4.0,11.62946141222391
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Gov. Vicente Duterte,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1069,0.5,0.0155,86742.17,2023,17,8,3,1,60.2,54508.06,33.8,1,12.0,4.0,10.906122205367351
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Gov. Paciano Bangoy,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,383,0.4,0.0137,14052.28,2023,9,8,2,1,46.4,9110.68,48.15,0,3.0,1.0,9.117312385985326
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Alfonso Angliongto Sr.,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,453,0.5,0.0185,63731.18,2024,15,8,3,1,47.2,43744.47,31.82,1,6.0,2.0,10.686143343567686
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Norte,Kapalong,Capungagan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,207,0.45,0.0147,9736.53,2023,6,7,2,1,47.6,6003.5,50.31,0,6.0,2.0,8.700264467100737
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Buhangin (Pob.),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,889,0.2,0.0109,4056.64,2021,1,1,0,0,0.0,607.92,80.37,0,3.0,1.0,6.411686896191053
Company,City of Digos,Davao Del Sur,Davao Del Sur,City of Digos,Ruparan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,618,0.5,0.0161,61708.59,2021,9,8,2,1,48.8,41464.44,49.54,0,12.0,4.0,10.632615588187981
Individual,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Oregon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,75,0.2,0.0122,1425.59,2024,13,8,1,1,29.6,819.71,78.74,0,12.0,4.0,6.710169819281794
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,San Agustin,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,112,0.2,0.0116,2012.2,2022,16,8,3,2,87.3,2054.97,5.0,1,9.0,3.0,7.628503035028911
Individual,Malalag,Davao Del Sur,Davao Del Sur,City of Davao,Pangyan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1500,0.4,0.0124,13350.71,2022,3,2,2,0,49.9,3017.02,44.99,1,9.0,3.0,8.012356266211071
Individual,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Don Mariano Marcos,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1719,0.4,0.0131,14615.7,2024,4,5,2,1,52.6,9817.9,40.54,1,3.0,1.0,9.19206437878094
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Asuncion,New Santiago,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,105,0.2,0.0144,1565.85,2024,17,8,3,1,43.2,1095.5,39.65,0,3.0,1.0,6.999878567857943
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Tagum,Liboganon,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14D,100,0.25,0.0132,3942.17,2024,21,8,3,1,55.8,3267.48,48.84,0,6.0,2.0,8.092080324019225
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Calinan (Pob.),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,567,0.2,0.0126,6342.07,2022,13,8,3,1,47.4,4681.01,29.17,1,3.0,1.0,8.45148278388796
Company,Padada,Davao Del Sur,Davao Del Sur,City of Davao,Calinan (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,113,0.5,0.0167,17923.17,2021,11,8,1,0,14.1,5516.5,82.4,0,12.0,4.0,8.615680138130891
Individual,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Indangan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,304,0.4,0.0127,8710.31,2024,18,8,2,1,53.0,4488.56,47.98,0,,,8.409509980388766
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Barangay 8-A (Pob.),Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1733,0.5,0.0145,147152.75,2023,19,8,3,1,42.8,96058.65,43.18,1,12.0,4.0,11.472724631656067
Individual,Matanao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Mambago-A,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3966,0.4,0.0114,36140.16,2021,4,3,1,1,41.7,18067.85,58.53,0,12.0,4.0,9.801944740166498
Individual,City of Davao,Davao Del Sur,Davao De Oro,Mabini,Cuambog (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4629,0.4,0.0105,41828.05,2022,12,8,3,1,56.0,33657.09,31.88,1,9.0,3.0,10.424008722225116
Company,Malita,Davao Occidental,Davao Del Sur,City of Davao,Toril (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,239,0.2,0.0131,5532.89,2024,9,8,2,1,52.5,3572.48,40.28,0,12.0,4.0,8.18129518989049
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tigatto,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,677,0.2,0.0111,5397.42,2021,3,2,1,0,10.1,1068.89,73.3,0,6.0,2.0,6.975311118432968
Company,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Magsaysay,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,213,0.2,0.0137,2266.0,2023,16,8,1,1,28.4,974.23,70.06,0,9.0,3.0,6.8826733406143195
Company,City of Tagum,Davao Del Norte,Davao Del Sur,City of Davao,Centro (San Juan),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,247,0.45,0.017,28864.98,2021,7,6,3,2,71.2,26311.99,5.0,1,6.0,2.0,10.177818012579134
Individual,Santo Tomas,Davao Del Norte,Davao Oriental,Lupon,Tagugpo,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3148,0.4,0.0133,30049.18,2022,12,8,1,0,23.6,8175.11,78.13,0,12.0,4.0,9.008971766364724
Individual,Don Marcelino,Davao Occidental,Davao Del Norte,City of Panabo,San Pedro,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4902,0.4,0.01,20226.55,2024,7,6,2,1,38.7,13183.35,47.39,0,9.0,3.0,9.486785799126976
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Luban,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,384,0.5,0.016,48733.62,2022,11,8,3,2,77.8,47238.17,7.15,1,3.0,1.0,10.762978700300893
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bantol,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,128,0.2,0.0133,3303.73,2023,7,7,2,1,34.0,1963.23,34.98,0,12.0,4.0,7.582855590000785
Company,Kapalong,Davao Del Norte,Davao Del Sur,City of Davao,Sasa,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,1016,0.4,0.0133,48168.87,2021,16,8,5,2,97.0,57984.88,5.0,1,3.0,1.0,10.967954811614353
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mahayag,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,331,0.45,0.0139,24294.48,2024,5,4,1,1,41.7,12474.44,61.99,0,,,9.43151719053881
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 31-D (Pob.),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,226,0.45,0.0151,32193.79,2021,1,2,1,1,52.5,15907.63,41.63,1,9.0,3.0,9.674617008259029
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Dominga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,254,0.2,0.011,3780.85,2022,3,2,1,1,42.3,2366.37,50.5,1,9.0,3.0,7.769534913309738
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Matina Pangi,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,310,0.2,0.0129,6027.22,2022,6,7,2,1,48.8,4044.19,34.64,1,12.0,4.0,8.305283799959302
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,Guihing Aplaya,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,567,0.2,0.0128,3396.74,2021,11,8,3,1,53.2,2457.27,28.59,1,9.0,3.0,7.807213129496182
Individual,Maco,Davao De Oro,Davao Del Sur,City of Davao,Paradise Embak,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3170,0.4,0.011,21126.54,2023,11,8,3,1,49.2,13486.94,35.56,1,3.0,1.0,9.509551231833166
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Baguio (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,193,0.2,0.0136,5322.15,2021,5,4,1,0,18.7,1563.18,88.25,0,6.0,2.0,7.355117003997033
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Dacudao,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,216,0.2,0.0113,2991.5,2023,9,8,4,2,81.4,3558.47,5.0,1,3.0,1.0,8.17736693635839
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Carmen,Anibongan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,155,0.2,0.0144,2956.84,2021,13,8,4,2,78.4,2962.8,7.76,1,6.0,2.0,7.9942275077560785
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Colosas,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,196,0.2,0.0114,3496.5,2022,6,5,1,1,29.3,1625.57,42.59,0,12.0,4.0,7.394228782183767
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Tagbinonga,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4819,0.4,0.0119,26956.11,2021,7,7,1,0,20.6,8495.39,85.54,0,3.0,1.0,9.047396646382968
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Dumoy,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,274,0.2,0.0112,2992.43,2021,14,8,1,1,30.5,1364.93,72.91,0,12.0,4.0,7.219590794308174
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Datu Salumay,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1600,0.5,0.0146,91607.64,2023,15,8,1,1,25.9,56206.79,68.37,0,12.0,4.0,10.936810638375658
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 7-A (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,90,0.2,0.0106,950.69,2021,16,8,1,1,30.1,454.33,72.47,0,6.0,2.0,6.121022430791613
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Dawan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,128,0.5,0.0154,12300.98,2023,8,7,1,1,44.7,7244.21,58.56,0,6.0,2.0,8.888095839841958
